City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Bluff,,-46.6,168.3333,53.8,54,5,6.73,clear sky
148,Sur,,22.5667,59.5289,84.34,61,8,6.85,clear sky
149,Severo-Kurilsk,,50.6789,156.125,52.29,82,88,13.06,overcast clouds
150,Torata,,-17.0769,-70.8433,60.24,31,1,1.74,clear sky
151,Cairns,,-16.9167,145.7667,91.06,49,19,13.8,few clouds
152,San Patricio,,28.017,-97.5169,80.46,65,99,9.62,overcast clouds
153,Port Alfred,,-33.5906,26.891,64.24,88,33,20.24,scattered clouds
154,Carnarvon,,-24.8667,113.6333,69.87,52,0,13.8,clear sky
155,Meulaboh,,4.1363,96.1285,79.95,78,100,1.61,overcast clouds
156,Adrar,,20.5022,-10.0711,89.82,13,0,9.93,clear sky
157,Presidencia Roque Saenz Pena,,-26.7852,-60.4388,72.1,39,0,8.7,clear sky
158,Hohhot,,40.8106,111.6522,59.29,72,20,2.24,few clouds
159,Namibe,,-15.1961,12.1522,61.5,91,40,4.92,scattered clouds
160,Aksarka,,66.5606,67.7975,31.46,80,15,6.69,few clouds
161,Semporna,,4.4818,118.6112,86.2,67,19,8.32,few clouds
162,Fortuna,,40.5982,-124.1573,63.52,77,90,0.0,overcast clouds
163,Ankang,,32.68,109.0172,72.48,84,100,2.39,light rain
164,Oranjemund,,-28.55,16.4333,58.03,89,89,10.07,overcast clouds
165,Sterlitamak,,53.6246,55.9502,45.46,55,99,11.92,light rain
166,Te Anau,,-45.4167,167.7167,50.45,39,0,1.79,clear sky
167,Marilia,,-22.2139,-49.9458,69.67,83,20,4.61,few clouds
168,Salalah,,17.0151,54.0924,80.69,89,20,1.14,few clouds
169,Poum,,-20.2333,164.0167,72.59,63,8,7.58,clear sky
170,Matinhos,,-25.8175,-48.5428,68.04,93,27,3.51,scattered clouds
171,Maniitsoq,,65.4167,-52.9,31.68,50,0,6.55,clear sky
172,Kavieng,,-2.5744,150.7967,83.8,73,35,8.79,light rain
173,Camacupa,,-12.0167,17.4833,61.77,51,44,4.79,scattered clouds
174,Terrasini,,38.146,13.0844,76.21,82,0,6.91,clear sky
175,Hamilton,,39.1834,-84.5333,63.84,71,1,0.0,clear sky
176,Kodiak,,57.79,-152.4072,45.36,62,0,9.71,clear sky
