City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1807,Santa Rosa,PH,87.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
1809,Parrita,CR,83.98,overcast clouds,9.5201,-84.3225,Beso del Viento
1812,Ibra,OM,80.73,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
1813,Soe,ID,86.41,overcast clouds,-9.8607,124.284,Dena Hotel
1814,Tirumullaivasal,IN,84.63,light rain,11.2333,79.8333,Almupaark complex
1815,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
1817,Aden,YE,87.3,clear sky,12.7794,45.0367,Sama Emirate Hotel
1824,Bosaso,SO,86.76,few clouds,11.2842,49.1816,Red Sea Hotel
1826,Banjarmasin,ID,86.14,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
1829,Manggar,ID,86.09,broken clouds,-2.8833,108.2667,Guest Hotel
1832,Cockburn Town,TC,83.3,clear sky,21.4612,-71.1419,Osprey Beach Hotel
1837,Mareeba,AU,86.43,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
1838,Casambalangan,PH,85.51,scattered clouds,18.3765,122.1274,Villa Saturnina
1843,Gushikawa,JP,87.39,clear sky,26.3544,127.8686,Kirari Guest House
1844,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
1846,Turbat,PK,84.38,scattered clouds,26.0023,63.044,Mubashar Quarters
1848,Sojat,IN,83.77,overcast clouds,25.9167,73.6667,Mahendi Nagari Sojat City
1855,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
1858,Lincoln,US,80.02,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
1859,Wanning,CN,85.66,light rain,18.8003,110.3967,Paradise Hotel
1863,Arauca,CO,76.14,few clouds,7.0847,-70.7591,Hotel Verano Plaza
1865,Gizo,SB,84.2,overcast clouds,-8.103,156.8419,Imagination Island
1871,Port-Gentil,GA,77.68,overcast clouds,-0.7193,8.7815,Fengshui Residence
1875,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1876,Kieta,PG,83.91,light rain,-6.2167,155.6333,Uruna Bay Retreat
1877,Trincomalee,LK,82.11,overcast clouds,8.5711,81.2335,Welcombe Hotel
1883,Izumo,JP,76.95,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
1886,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
1889,Katsuura,JP,80.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
1890,Kadhan,PK,84.79,scattered clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
1892,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
